"","Species","ID","Estado2","Lat2","Long2","Altitude","UF","Lat","Long","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Brazilian State","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"1",NA,"24211","GO",-14.16,-47.62,1166,NA,NA,NA,NA,NA,NA,NA,NA,2741,390,"SIM","GRC",NA,NA,"Alto Paraiso",NA,NA,NA,NA,NA,NA,NA
"2",NA,"24210","GO",-14.16,-47.62,1166,NA,NA,NA,NA,NA,NA,NA,NA,2187.93,390,"SIM","GRC",NA,NA,"Alto Paraiso",NA,NA,NA,NA,NA,NA,NA
"3",NA,"53290","GO",-13.64,-47.72,961,"GO",-13.64,-47.72,961,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cavalcante","GO",-13.79,-47.45,7,"G. amarali Clade G","11","KM283255/ KM283363"
"4",NA,"53292","GO",-13.64,-47.72,961,"GO",-13.64,-47.72,961,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Cavalcante","GO",-13.79,-47.45,7,"G. amarali Clade G","11","KM283256/ KM283364"
"5",NA,"53294","GO",-13.64,-47.72,961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Cavalcante",NA,-13.79,-47.45,7,NA,NA,NA
"6",NA,"53293","GO",-13.64,-47.72,961,"GO",-13.64,-47.72,961,NA,NA,NA,NA,2992.61,390,"SIM","CHUNB","SIM","SIM","Cavalcante","GO",-13.79,-47.45,7,"G. amarali Clade G","11","KM283257/ KM283365"
"7",NA,"53291","GO",-13.64,-47.72,961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Cavalcante",NA,-13.79,-47.45,7,NA,NA,NA
"8",NA,"38645","GO",-15.64,-48.55,738,"GO",-15.64,-48.55,732,NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cocalzinho","GO",-15.79,-48.77,NA,"G. amarali Clade C","12","KM283305/ KM283352"
"9",NA,"38646","GO",-15.64,-48.55,738,"GO",-15.64,-48.55,732,NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cocalzinho","GO",-15.79,-48.77,NA,"G. amarali Clade C","13","KM283306/ KM283353"
"10",NA,"44704","GO",-13.99,-48.09,511,"GO",-13.99,-48.09,528,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","ColinasdoSul","GO",-14.15,-48.07,2,"G. amarali Clade D","14","KM283280/ KM283354"
