"","ID","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Locality","Brazilian State","Latitude","Longitude","gymno_clades","Species","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"1","14237",2402.9,391,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","53060",2665.26,391,"SIM","CHUNB",NA,"SIM","MonteAlegre",NA,NA,-13.09325,-47.02351,7,NA,NA,NA
"3","21228",1942.29,391,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10775",1978.32,391,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","24310",4633.62,391,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","53293",2992.61,390,"SIM","CHUNB","SIM","SIM","Cavalcante","Cavalcante","GO",-13.79,-47.45,7,"G. amarali Clade G","11","KM283257/ KM283365"
"7","44698",2265.45,390,"SIM","CHUNB",NA,"SIM","ColinasdoSul",NA,NA,-14.15,-48.07,2,NA,NA,NA
"8","1293",2742.3,390,"SIM","ESTR","SIM","SIM","Estreito","Estreito","MA",-6.5625,-47.4525,12,"G. amarali Clade H","15","KM283258/ KM283394"
"9","62569",2125.05,390,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","24210",2187.93,390,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","24211",2741,390,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","52007",3060.78,390,"SIM","CHUNB",NA,"SIM","Carolina",NA,NA,-7.366666667,-47.43333333,12,NA,NA,NA
"13","69384",4618.6,390,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","10442",2008.26,390,"SIM","GRC","SIM",NA,NA,"Palmas","TO",NA,NA,NA,"G. amarali Clade H","36","KM283295/ KM283331"
"15","15799",5219.43,390,"SIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","6435",2034.43,390,"SIM","MRT","SIM",NA,NA,"São Salvador","TO",NA,NA,NA,"G. amarali Clade H","50","KM283325/ KM283412"
