"","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"1","14808","MTR","Almas",NA,NA,NA,NA,NA,"SIM",NA,"TO",-11.24,-46.81,523,"G. amarali Clade H",NA,NA
"2","14609","MTR","Almas",NA,NA,NA,NA,NA,"SIM",NA,"TO",-11.24,-46.81,523,"G. amarali Clade H",NA,NA
"3","14578","MTR","Almas",NA,NA,NA,NA,NA,"SIM",NA,"TO",-11.24,-46.81,523,"G. amarali Clade H",NA,NA
"4","42411","CHUNB","Almas",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"5","42421","CHUNB","Almas",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"6","42420","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"7","42426","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"8","42418","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"9","42414","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"10","42417","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"11","42423","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"12","42422","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"13","42419","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"14","42416","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"15","42412","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"16","42425","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"17","42413","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"18","42415","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"19","42424","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"20","14808","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,NA,NA,NA
"21","14609","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,NA,NA,NA
"22","14578","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,NA,NA,NA
"23","14517","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,"G. amarali",NA,NA
"24","14237","MTR","AlmasEESGT",NA,NA,NA,"SIM","SIM",NA,NA,"TO",-11.24,-46.81,522,"G. amarali",NA,NA
"25","14552","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,"G. amarali",NA,NA
"26","14510","MTR","AlmasEESGT",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.24,-46.81,522,"G. amarali",NA,NA
"27","24211","GRC","AltoParaiso",NA,NA,NA,"SIM","SIM",NA,NA,"GO",-14.16,-47.62,1166,"G. amarali",NA,NA
"28","24210","GRC","AltoParaiso",NA,NA,NA,"SIM","SIM",NA,NA,"GO",-14.16,-47.62,1166,"G. amarali",NA,NA
"29","12436","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"30","403","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"31","402","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"32","407","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"33","410","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"34","413","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"35","408","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"36","401","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"37","404","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"38","411","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"39","406","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"40","12435","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"41","400","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"42","409","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"43","17522","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"44","12434","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"45","405","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"46","17521","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"47","414","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"48","415","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"49","416","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"50","412","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"51","417","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"52","93075","CHUNB","AltoParnaiba",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.1,-45.95,NA,"G. amarali",NA,NA
"53","55883","CHUNB","BarradoGarca",NA,NA,NA,NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,NA,NA,NA
"54","55882","CHUNB","BarradoGarca",NA,NA,NA,NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,NA,NA,NA
"55","55881","CHUNB","BarradoGarca",NA,NA,NA,NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,NA,NA,NA
"56","63196","CHUNB","BarradoGarcas",NA,NA,NA,NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,NA,NA,NA
"57","63198","CHUNB","BarradoGarcas",NA,NA,NA,NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,NA,NA,NA
"58","889","LG","BarradoGarcas",NA,NA,NA,"SIM","SIM","SIM",NA,"MT",-15.88,-52.25,294,"G. amarali Clade B",NA,NA
"59","63197","CHUNB","BarradoGarcas",NA,"SIM","SIM",NA,"SIM",NA,NA,"MT",-15.2,-52.5,619,"G. amarali","E",NA
"60","63196","CHUNB","BarradoGarcas",NA,NA,NA,NA,NA,"SIM",NA,"MT",-15.2,-52.5,624,"G. amarali Clade E",NA,NA
"61","63198","CHUNB","BarradoGarcas","SIM","SIM","SIM",NA,NA,"SIM",NA,"MT",-15.2,-52.5,624,"G. amarali Clade E","E",NA
"62","78736","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"63","78735","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"64","78732","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"65","78733","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"66","78738","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"67","78737","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"68","78734","MZUSP","BarradoGarcas",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.88333333,-52.25,NA,"G. amarali",NA,4
"69","4020","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"70","4030","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"71","4021","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"72","4007","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"73","4033","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
