"","ID","UF","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"1","24211","GO","1166",NA,NA,NA,NA,2741,390,"SIM","GRC",NA,NA,"Alto Paraiso","-14.16","-47.62",NA,"G. amarali",NA,NA
"2","24210","GO","1166",NA,NA,NA,NA,2187.93,390,"SIM","GRC",NA,NA,"Alto Paraiso","-14.16","-47.62",NA,"G. amarali",NA,NA
"3","53290","GO","961",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cavalcante","-13.79","-47.45",7,"G. amarali Clade G","11","KM283255/ KM283363"
"4","53292","GO","961",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Cavalcante","-13.79","-47.45",7,"G. amarali Clade G","11","KM283256/ KM283364"
"5","53294","GO","961",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Cavalcante","-13.79","-47.45",7,"G. amarali",NA,NA
"6","53293","GO","961",NA,NA,NA,NA,2992.61,390,"SIM","CHUNB","SIM","SIM","Cavalcante","-13.79","-47.45",7,"G. amarali Clade G","11","KM283257/ KM283365"
"7","53291","GO","961",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Cavalcante","-13.79","-47.45",7,"G. amarali",NA,NA
"8","38645","GO","732",NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cocalzinho","-15.79","-48.77",NA,"G. amarali Clade C","12","KM283305/ KM283352"
"9","38646","GO","732",NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","Cocalzinho","-15.79","-48.77",NA,"G. amarali Clade C","13","KM283306/ KM283353"
"10","44704","GO","528",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","ColinasdoSul","-14.15","-48.07",2,"G. amarali Clade D","14","KM283280/ KM283354"
"11","44698","GO","511",NA,NA,NA,NA,2265.45,390,"SIM","CHUNB",NA,"SIM","ColinasdoSul","-14.15","-48.07",2,"G. amarali",NA,NA
"12","2202","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"13","2211","GO","425",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Minaçu","-13.5","48.4",NA,"G. amarali Clade D","25","KM283279/ KM283344"
"14","2153","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"15","2154","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"16","2207","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"17","2199","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"18","831","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"19","832","GO","425","SIM","D","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Minaçu","-13.5","48.4",NA,"G. amarali Clade D","26","KM283281/ KM283392"
"20","2204","GO","425",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Minaçu","-13.5","48.4",NA,"G. amarali Clade D","24","KM283278/ KM283343"
"21","2173","GO","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu","-13.5","-48.4",NA,"G. amarali",NA,NA
"22","2152","GO","425",NA,NA,NA,NA,1058.54,384,"SIM","GRC","SIM",NA,"Minaçu","-13.5","48.4",NA,"G. amarali Clade D","23","KM283277/ KM283342"
"23","53059","GO","579",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali Clade G","28","KM283321/ KM283361"
"24","53062","GO","564",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"25","53061","GO","579",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali Clade G","28","KM283322/ KM283362"
"26","53052","GO","564",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"27","53054","GO","579",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali Clade G","27","KM283319/ KM283359"
"28","53058","GO","579",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali Clade G","28","KM283320/ KM283360"
"29","53056","GO","564",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"30","53060","GO","564",NA,NA,NA,"SIM",2665.26,391,"SIM","CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"31","53055","GO","564",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"32","53051","GO","564",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre","-13.09325","-47.02351",7,"G. amarali",NA,NA
"33","1075","TO","718",NA,NA,NA,NA,NA,NA,NA,"LG","SIM",NA,"Niquelândia","-14.45","-48.45",NA,"G. amarali Clade D","29","KM283283/ KM283406"
"34","1083","GO","594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niquelandia","-14.45","-48.45",NA,"G. amarali",NA,NA
"35","1072","TO","718",NA,NA,NA,NA,NA,NA,NA,"LG","SIM",NA,"Niquelândia","-14.45","-48.45",NA,"G. amarali Clade D","29","KM283282/ KM283405"
"36","67395","GO","1310",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","-15.81","-48.87",NA,"G. amarali Clade C","45","KM283308/ KM283388"
"37","67440","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"38","67396","GO","1310",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","-15.81","-48.87",NA,"G. amarali Clade C","45","KM283309/ KM283389"
"39","67399","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"40","67392","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"41","67394","GO","1310",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","-15.81","-48.87",NA,"G. amarali Clade C","45","KM283307/ KM283387"
"42","67397","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"43","67437","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"44","67441","GO","1310",NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","-15.81","-48.87",NA,"G. amarali Clade C","46","KM283310/ KM283390"
"45","67438","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"46","67393","GO","1324","SIM","C","SIM","SIM",NA,NA,NA,"CHUNB",NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"47","67398","GO","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis","-15.81","-48.87",NA,"G. amarali",NA,NA
"48","67443","GO","1310",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","-15.81","-48.87",NA,"G. amarali Clade C","45","KM283311/ KM283391"
"49","15564","GO","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos","-13.45","-46.45",NA,"G. amarali",NA,NA
"50","15560","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade A","47","KM283314/ KM283336"
"51","15558","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade A","47","KM283313/ KM283335"
"52","15568","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade A","47","KM283315/ KM283338"
"53","37161","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM","SIM","SaoDomingos","-13.44979","-46.4481",1,"G. amarali Clade G","48","KM283318/ KM283351"
"54","15533","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade A","47","KM283312/ KM283334"
"55","15566","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade G","27","KM283317/ KM283337"
"56","15569","GO","472",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","-13.45","-46.45",NA,"G. amarali Clade A","47","KM283316/ KM283339"
"57","15484","GO","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos","-13.45","-46.45",NA,"G. amarali",NA,NA
"58","69384","GO","456",NA,NA,NA,NA,4618.6,390,"SIM",NA,NA,NA,"Sao Domingos","-13.45","-46.45",NA,"G. amarali",NA,NA
"59","15534","GO","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos","-13.45","-46.45",NA,"G. amarali",NA,NA
"60","00197","MA","176",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Carolina","-7.37","-47.43",NA,"G. amarali Clade H","8","KM283249/ KM283398"
"61","52006","MA","176",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Carolina","-7.366666667","-47.43333333",12,"G. amarali",NA,NA
"62","00196","MA","176",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Carolina","-7.37","-47.43",NA,"G. amarali Clade H","8","KM283248/ KM283397"
"63","1038","MA","175",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","-6.5625","-47.4525",12,"G. amarali Clade H","7","KM283247/ KM283393"
"64","52007","MA","176",NA,NA,NA,NA,3060.78,390,"SIM","CHUNB",NA,"SIM","Carolina","-7.366666667","-47.43333333",12,"G. amarali",NA,NA
"65","1293","MA","147",NA,NA,NA,NA,2742.3,390,"SIM","ESTR","SIM","SIM","Estreito","-6.5625","-47.4525",12,"G. amarali Clade H","15","KM283258/ KM283394"
