" ""Estreito – MA";"""Estreito-CGERV?""";CGERV;13;25;53;75;99;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Almas""";"""Almas""";CHUNB;42411:42426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Alto Paraíso – GO";"""AltoParaiso""";CHUNB;400:417;12434:12436;17521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Bom Jesus do Tocantins : TO";"""BomJesusTocantins""";CHUNB;37296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Carolina : MA";"""Carolina""";CHUNB;52006:53008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Caseara : TO";"""Caseara""";CHUNB;45302:45336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Cavalcante – GO";"""Cavalcante""";CHUNB;53290:53294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Cocalzinho GO";"""Cocalzinho""";CHUNB;36309;38645;38646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Colinas do Sul – GO";"""ColinasdoSul""";CHUNB;44698;44704;44708;48337;50402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Coribe – BA";"""Coribe""";CHUNB;866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Dianópolis – TO";"""Dianopolis""";CHUNB;33562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Guaraí – TO";"""Guarai""";CHUNB;50831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Mateiros – TO";"""Mateiros""";CHUNB;14148:;14150;28204:28310;40964;40965;40968;40969;40973;40974;40976;40978:40980;40984:40986;40988;40989;40992;40998;41000;41002;41004:41006;41011;41013;41014;41020;41021;41027;41028;41030;41031;41033;41035;41037:41039;41042;41045;41046;41049:41051;41055;41056;41060:41062;41064;41067:41071;41073;41075:41077;41079:41082;41086:41089;41091;42351;42355;42356
" ""Minaçu GO";"""Minacu""";CHUNB;3009:3076;3078:3133;8001:8030;8032:8036;8040:8059;9498;53160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Mineiros GO";"""Mineiros""";CHUNB;864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Monte Alegre – GO";"""MonteAlegre""";CHUNB;53051:53085;69370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Nova Xavantina – MT";"""NovaXavantina""";CHUNB;55880:55890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Palmas – TO";"""Palmas""";CHUNB;11173:11189;11199:11204;11502:11515;12437;12439;12440;14555;24654;25089;25090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Paranã – TO";"""Parana""";CHUNB;33536;33537;33539:33542;33544;33545;33547:33551;33553;33557:33559;33561;33563;33564;33567:33570;33572;33573;33575:33577;33579:33582;33585:37138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Pedro Afonso – TO";"""PedroAfonso""";CHUNB;50829;50830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Peixe – TO";"""Peixe""";CHUNB;52607:52610;52612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Pirenópolis – GO";"""Pirenopolis""";CHUNB;86:96;292:294;296:314;372:392;394:399;893;9497;11080;34681:34684;39806;39851;39924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Porto Alegre do Tocantins – TO";"""PortoAlegreTocantins""";CHUNB;38911:38913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Porto Nacional – TO";"""PortoNacional""";CHUNB;47754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""São Domingos – GO";"""SaoDomingos""";CHUNB;33538;33543;33546;33552;33554:33556;33560;33565;33566;33571;33574;33578;35196:35233;37139:37163;40288;43896;43898;43903;43906:43932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Teresina de Goiás – GO";"""TeresinadeGoias""";CHUNB;21816;21817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gymnodactylus darwini ""Presidente Kennedy : ES";"""PresidenteKennedy_darwini""";CHUNB;09443;09453;13546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" Gymnodactylus geckoides ""Exu : PE";;CHUNB;11195;13571:13573;13575;13577;13578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""Milagres CE";;CHUNB;56535:56537;56540;56541.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Estreito – MA";"""Estreito""";ESTR;642;1037;1038;1069;1092;1293;1309;1410;1699;1759;1808;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Peruaçu – MG";"""Januaria(Peruacu)""";MTJ;133;134;148;204;205;217;223;260;263;266;293;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Alto Parnaíba – MA";"""AltoParnaiba""";MZUSP;93075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Barra do Garças – MT";"""BarradoGarcas""";MZUSP;78732:78738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Barra do Rio São Domingos : TO";"""BarraRioSaoDomingos""";MZUSP;4006:4033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Buritis : MG";"""Buritis""";MZUSP;67155;67156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Cana Brava/Minaçu : GO";"""CanaBrava""";MZUSP;4000:4005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Carolina : MA";"""Carolina""";MZUSP;7115;7116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Cocalinho – MT";"""Cocalinho""";MZUSP;83033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Gurupi – TO";"""Gurupi""";MZUSP;57017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Ipueiras – TO";"""Ipueiras""";MZUSP;91183:91187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Lajeado – TO";"""Lajeado(UHE)""";MZUSP;86127;89398;89815:89822;89907;95870:95892;96114:96126;96128:96142;96431:96435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Niquelândia – GO";"""Niquelandia""";MZUSP;77824;90093:90095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Nova Roma – GO";"""NovaRoma""";MZUSP;80154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Palmas – TO";"""Palmas""";MZUSP;87119:87201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Peixe – TO";"""Peixe""";MZUSP;88728:88731;89576:89581;91509:91511;96284:96286;96288:96292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Pirenópolis – GO";"""Pirenopolis""";MZUSP;56572;79380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Pium – TO";"""Pium""";MZUSP;338;339;342;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Porto Nacional – TO";"""PortoNacional""";MZUSP;78244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Posse – GO";"""Posse""";MZUSP;69394:69396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Rio das Mortes – MT";"""RiodasMortes""";MZUSP;4052:4054;4853;4854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Rio Verde – GO";"""RioVerde""";MZUSP;29617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""São Salvador do Tocantins – TO";"""SaoSalvadorTocantins""";MZUSP;89224:89248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" ""Serra Negra – GO";"""SerraNegra""";MZUSP;75037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
