"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"7",1123,"15569","CHUNB","SaoDomingos",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.45,-46.45,456,NA,NA,NA
"8",1127,"15560","GRC","SaoDomingos",NA,NA,NA,NA,NA,"SIM",NA,"GO",-13.45,-46.45,472,"G. amarali Clade A",NA,NA
"11",1130,"37161","GRC","SaoDomingos",NA,NA,NA,NA,NA,"SIM","SIM","GO",-13.44979,-46.4481,472,"G. amarali Clade G",NA,1
"15",1134,"37148","CHUNB","SaoDomingos",NA,"SIM","SIM",NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali","A",1
"16",1135,"37152","CHUNB","SaoDomingos",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"17",1136,"37153","CHUNB","SaoDomingos",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"18",1137,"37162","CHUNB","SaoDomingos",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"19",1138,"35225","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"20",1139,"33556","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"21",1140,"33566","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"22",1141,"35215","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"23",1142,"35233","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"24",1143,"37141","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"25",1144,"33538","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
"26",1145,"33565","CHUNB","SaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.44979,-46.4481,NA,"G. amarali",NA,1
