Localidade;Latitude;Longitude
Almas;-11.473671;-47.121126
AltoParaiso;-14.16222;-47.52332
AltoParnaiba;-9.1;-45.95
BarradoGarcas;-15.88333333;-52.25
BarraRioSaoDomingos;-13.24;-47.12
BomJesusTocantins;-8.9600;-48.1600
Buritis;-15.61777778;-46.42333333
CanaBrava;-13.50833333;-48.35555556
Carolina;-7.366666667;-47.43333333
Caseara;-9.37229;-49.84295
Cavalcante;-13.7900;-47.4500
Cocalinho;-14.37444444;-51.00222222
Cocalzinho;-15.7900;-48.7700
ColinasdoSul;-14.15;-48.07
Coribe;-13.8200;-44.4500
Dianopolis;-11.6200;-46.8200
Estreito;-6.5625;-47.4525
Guarai;-8.833333333;-48.51666667
Gurupi;-11.71666667;-49.06666667
Ipueiras;-11.23333333;-48.46666667
Januaria(Peruacu);-15.12333333;-44.24010556
Lajeado(UHELuis);-9.85;-48.31666667
Mateiros;-10.70224;-46.41278
Minacu;-13.49575;-48.3974
Mineiros;-17.5600;-52.5500
MonteAlegre;-13.09325;-47.02351
Niquelandia;-14.27;-48.27
NovaRoma;-13.75;-46.88333333
NovaXavantina;-14.41;-52.2
Palmas;-10.18914;-48.10853
Parana;-12.75309;-47.75906
PedroAfonso;-8.5800;-48.1000
Peixe;-12.03333333;-48.35
Pirenopolis;-15.82596;-49.01104
Pium;-10.44222222;-49.18555556
PortoAlegreTocantins;-11.6000;-47.0400
PortoNacional;-10.7;-48.41666667
Posse;-14.08333333;-46.33333333
RiodasMortes;-13.3;-51.24
RioVerde;-17.8;-50.93333333
SaoDomingos;-13.44979;-46.4481
SaoSalvadorTocantins;-12.73333333;-48.23333333
SerraNegra;-14.01666667;-48.3525
TeresinadeGoias;-13.693844;-47.239945
SaoDesiderio_geckoides;-12.36;-44.97
PresidenteKennedy_darwini;-21.09;-41.04
