Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
11200;;Palmas;8;13;10;12;10;15;222;NA;NA;44;10;3;14;23;NA;12;73;20;11;NA;NA;0;1;1;2;0;0;1;NA
25089;;Palmas;8;13;8;12;10;16;218;7;4;42;10;5;14;26;5;11;67;18;11;4;12;1;1;0;2;1;0;1;0
11506;;Palmas;8;15;10;13;10;16;NA;6;3;NA;NA;3;NA;NA;5;13;74;19;12;5;NA;0;1;1;2;0;0;1;0
11174;;Palmas;8;17;11;12;10;16;NA;4;4;NA;NA;NA;NA;NA;6;12;NA;19;11;8;NA;0;1;0;2;0;0;0;0
11176;;Palmas;7;13;11;12;10;15;215;4;NA;40;11;4;14;22;4;13;71;22;11;6;NA;0;1;1;0;0;0;0;0
11203;;Palmas;7;16;10;12;10;14;196;4;5;NA;NA;5;14;21;3;13;81;19;13;5;NA;0;1;1;0;0;0;0;0
11503;;Palmas;7;16;10;12;10;17;210;NA;4;41;10;4;14;NA;5;13;74;19;16;8;NA;0;2;0;2;0;0;0;0
11513;;Palmas;9;16;11;12;10;17;220;7;4;39;11;4;14;NA;5;12;78;21;14;7;NA;0;1;0;2;0;0;0;0
11186;;Palmas;8;14;10;11;9;16;214;NA;NA;48;9;5;14;22;4;12;79;20;13;NA;NA;0;1;1;2;0;0;1;NA
11182;;Palmas;7;15;12;12;10;15;215;NA;NA;43;10;4;14;21;8;11;79;20;14;NA;NA;0;1;0;0;0;0;1;NA
11177;;Palmas;8;17;10;12;10;16;NA;4;4;NA;NA;NA;NA;23;4;13;78;19;16;7;NA;0;1;1;2;0;0;0;0
11188;;Palmas;7;15;10;12;10;16;216;7;4;48;11;5;14;23;4;12;79;21;14;7;NA;0;1;1;2;0;0;0;0
11202;;Palmas;7;16;10;12;10;17;214;NA;NA;38;10;5;14;22;3;14;76;21;15;NA;NA;0;1;1;2;0;0;0;NA
11179;;Palmas;8;18;11;14;11;17;219;NA;5;38;11;4;14;20;7;12;83;21;14;7;NA;0;1;1;2;0;0;1;0
11189;;Palmas;9;16;12;13;10;16;231;NA;3;42;10;4;14;22;4;12;77;23;14;9;NA;0;1;1;0;0;0;0;0
11515;;Palmas;8;16;10;12;10;15;215;NA;NA;39;10;4;14;NA;4;11;77;23;15;NA;NA;0;1;0;2;0;0;0;NA
11183;;Palmas;8;17;10;12;10;15;233;NA;NA;39;NA;NA;NA;NA;3;12;78;20;14;8;NA;0;1;1;2;0;0;0;NA
11505;;Palmas;9;17;10;14;10;16;236;NA;NA;39;9;5;14;21;6;12;83;21;14;NA;NA;0;1;1;2;0;0;0;NA
11173;;Palmas;8;16;11;12;9;15;236;6;3;41;10;4;14;22;5;12;62;20;14;12;NA;0;1;0;2;0;0;1;0
24654;;Palmas;9;16;11;11;10;16;206;7;4;37;10;4;14;20;6;11;69;21;14;8;12;1;1;1;2;0;0;1;0
11175;;Palmas;9;17;11;13;10;16;221;NA;NA;NA;11;4;13;21;4;13;78;22;14;NA;NA;0;1;1;2;0;0;0;NA
11511;;Palmas;8;16;11;12;10;16;236;5;4;38;9;4;14;21;5;13;85;22;15;7;NA;0;1;1;2;0;0;0;0
11504;;Palmas;8;16;10;13;10;15;222;6;5;41;11;5;14;NA;5;12;83;21;14;10;NA;0;1;0;0;0;0;0;0
11180;;Palmas;8;15;11;11;9;16;212;NA;4;39;8;3;14;20;9;12;67;21;15;6;NA;0;2;0;0;0;0;1;0
11509;;Palmas;8;15;10;11;10;17;236;NA;5;44;9;4;14;24;4;12;82;19;15;10;NA;0;1;1;2;0;0;1;0
11514;;Palmas;9;17;11;12;9;15;223;NA;NA;40;10;3;13;NA;4;13;82;21;15;7;NA;0;1;1;2;0;0;0;NA
11512;;Palmas;8;14;9;12;11;16;204;NA;4;45;12;5;15;22;7;12;85;21;14;8;NA;0;1;0;2;0;0;1;NA
11178;;Palmas;8;17;11;14;12;17;NA;NA;4;NA;NA;NA;NA;23;4;13;92;21;14;11;NA;0;1;1;2;0;0;0;0
25090;;Palmas;8;16;11;12;10;17;225;NA;NA;38;9;3;14;22;9;11;78;20;14;7;NA;0;1;0;2;0;0;1;NA
11201;;Palmas;8;15;11;12;11;15;216;NA;4;44;10;5;14;NA;6;12;73;22;14;8;NA;0;1;1;2;0;0;1;0
11502;;Palmas;8;16;10;13;10;16;239;NA;NA;42;12;5;NA;23;5;12;68;23;16;NA;NA;0;1;0;2;0;0;0;NA
11507;;Palmas;7;16;9;12;8;16;197;6;3;36;13;6;14;22;6;15;74;22;16;11;NA;0;1;1;2;0;0;0;0
11181;;Palmas;8;16;13;11;10;16;218;NA;4;37;13;5;13;20;8;11;73;22;15;6;NA;0;1;1;2;0;0;0;0
11184;;Palmas;8;15;13;12;10;16;NA;NA;NA;NA;NA;NA;NA;NA;5;12;76;22;14;NA;NA;0;1;0;2;0;0;0;NA
11204;;Palmas;8;16;10;12;10;16;197;NA;NA;39;12;3;13;22;3;12;82;21;13;NA;NA;0;1;0;0;0;0;1;NA
11510;;Palmas;8;16;10;12;10;16;215;NA;NA;44;9;3;14;20;4;13;NA;22;15;NA;NA;0;1;1;0;0;0;1;0
11187;;Palmas;8;16;10;12;10;16;227;NA;NA;43;11;4;14;23;6;13;83;22;14;NA;NA;0;1;1;2;0;0;1;NA
11199;;Palmas;8;17;10;12;10;17;196;NA;3;39;13;3;14;23;4;13;74;NA;16;6;NA;0;1;1;2;0;0;0;0
14555;;Palmas;8;16;10;12;10;15;233;8;5;39;9;5;14;18;4;12;70;23;14;9;NA;0;1;1;2;0;0;0;0
12440;;Palmas;8;16;11;12;10;15;209;4;4;44;10;6;13;25;3;11;75;19;14;10;10;0;1;0;2;0;0;0;0
12439;;Palmas;8;18;9;12;11;16;199;6;4;42;12;6;14;22;3;13;71;22;16;8;14;0;1;0;1;0;0;0;0
12437;;Palmas;7;16;12;12;10;16;213;5;3;33;11;7;14;25;7;11;77;21;14;15;12;0;1;1;2;0;0;0;0
11508;;Palmas;9;17;10;12;9;16;234;NA;3;40;12;6;13;21;6;13;87;22;15;9;NA;0;1;0;2;0;0;0;0
11185;;Palmas;8;15;11;12;11;16;NA;NA;NA;NA;NA;6;14;21;7;13;79;22;17;9;NA;1;1;0;2;0;0;1;0
42411;;Almas;8;16;9;10;10;15;212;6;4;42;10;4;14;20;6;12;73;18;15;7;NA;0;1;1;2;0;0;1;0
42420;;Almas;8;18;10;12;10;16;213;NA;NA;34;9;3;13;20;6;12;72;18;14;NA;NA;0;1;0;2;0;0;1;0
42426;;Almas;8;16;10;12;10;16;239;NA;2;42;12;3;14;21;7;14;69;17;15;9;NA;0;1;0;2;0;0;1;0
42418;;Almas;8;16;10;12;10;16;232;NA;NA;41;7;2;14;21;4;13;78;20;15;NA;NA;0;1;1;2;0;0;2;0
42414;;Almas;8;14;10;12;10;17;218;NA;NA;41;12;5;14;19;5;11;68;20;15;NA;10;0;1;1;2;0;0;1;0
42421;;Almas;8;17;10;12;10;16;195;NA;4;39;8;2;14;19;5;11;71;18;14;9;NA;0;1;1;2;0;0;1;0
42417;;Almas;8;15;9;13;11;15;NA;7;4;NA;NA;NA;NA;NA;5;13;71;21;14;10;NA;0;2;0;2;0;0;1;0
42423;;Almas;8;18;11;14;10;16;196;6;5;38;11;5;14;20;5;12;75;20;13;7;NA;0;1;1;2;0;0;0;0
42422;;Almas;7;16;11;13;10;16;214;6;5;38;12;5;14;20;7;12;65;19;15;7;NA;NA;NA;NA;2;0;0;1;0
42419;;Almas;8;16;10;12;10;16;198;NA;NA;NA;NA;NA;NA;NA;6;13;NA;20;15;NA;NA;0;1;1;2;0;0;1;NA
42416;;Almas;8;17;10;12;9;16;205;NA;NA;34;11;5;14;21;6;14;82;20;14;9;NA;0;1;1;2;0;0;0;0
42412;;Almas;8;17;10;12;10;17;217;6;4;37;12;5;14;20;5;12;77;20;15;12;NA;0;1;0;2;0;0;0;0
42425;;Almas;7;17;10;12;10;15;198;6;4;40;9;2;14;20;5;11;83;20;15;6;NA;0;1;1;0;0;0;2;0
42413;;Almas;8;17;10;12;10;15;221;7;4;34;11;6;14;21;7;12;77;20;14;9;11;0;1;1;2;0;0;0;0
42415;;Almas;8;16;11;13;10;16;195;4;3;NA;11;NA;NA;NA;6;12;82;19;15;7;NA;0;1;1;2;0;0;0;0
42424;;Almas;7;18;10;12;10;15;220;6;3;36;11;5;14;21;8;12;73;21;16;6;10;0;1;0;2;0;0;0;0
12436;;AltoParaiso;7;14;10;10;9;12;281;1;0;35;13;4;14;22;3;12;97;21;16;2;NA;0;2;0;2;0;0;1;0
403;;AltoParaiso;9;18;11;13;10;15;305;1;0;23;9;2;12;22;4;15;97;19;17;7;NA;0;1;0;2;1;0;1;0
402;;AltoParaiso;7;17;11;12;10;13;NA;NA;NA;NA;NA;NA;NA;22;3;12;NA;20;15;NA;NA;0;1;1;2;0;0;1;NA
407;;AltoParaiso;9;17;11;13;10;16;297;1;0;25;8;2;12;22;4;13;101;21;17;7;NA;0;1;1;2;0;0;2;0
410;;AltoParaiso;9;16;10;13;10;15;273;1;0;24;9;5;12;21;3;14;92;21;17;5;12;0;1;0;0;0;0;0;0
413;;AltoParaiso;8;14;13;13;10;14;281;NA;NA;32;12;4;12;21;5;13;90;20;14;7;NA;0;2;0;2;0;0;0;0
