Espécie;Colecao;ID;Larg. Tronco;Larg. Lobo;Comp.Total;LL/LT;LT/ComT;LL/ComT;
Gymnodactylus darwinii;MTR;12450;1.460;2.548;4.460;1.745;0.3;0.6;0.573
Gymnodactylus sp1;MTR;16143;1.834;3.812;6.565;2.079;0.3;0.6;0.481
Gymnodactylus sp2;UFMG;1327;1.628;3.603;6.024;2.213;0.3;0.6;0.452
Gymnodactylus sp3;UFMG;2175;1.215;2.070;3.617;1.704;0.3;0.6;0.587
Gymnodactylus geckoides;LACV;3288;1.520;2.529;3.719;1.664;0.4;0.7;0.601
Gymnodactylus Clado B;LACV;3236;1.729;3.045;4.877;1.761;0.4;0.6;0.568
Gymnodactylus Clado C;CHUNB;67393;1.401;2.648;3.945;1.890;0.4;0.7;0.529
Gymnodactylus Clado D;CHUNB;832;1.220;2.031;4.054;1.665;0.3;0.5;0.601
Gymnodactylus Clado E;CHUNB;63198;1.192;2.589;4.329;2.172;0.3;0.6;0.460
Gymnodactylus Clado F;CHUNB;11514;1.609;3.318;5.223;2.062;0.3;0.6;0.485
Gymnodactylus Clado G;CHUNB;37088;1.520;2.331;3.329;1.534;0.5;0.7;0.652
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
