ID;Species;Average coverage across loci;Loci passing coverage threshold
MTR14237;G. amarali;2402.9;391
53060;G. amarali;2665.26;391
GRC21228;G. amarali;1942.29;391
10775;G. amarali;1978.32;391
GRC24310;G. amarali;4633.62;391
53293;G. amarali;2992.61;390
44698;G. amarali;2265.45;390
ESTR1293;G. amarali;2742.3;390
62569;G. amarali;2125.05;390
GRC24210;G. amarali;2187.93;390
GRC24211;G. amarali;2741;390
52007;G. amarali;3060.78;390
69384;G. amarali;4618.6;390
10442;G. amarali;2008.26;390
15799;G. amarali;5219.43;390
MRT6435;G. amarali;2034.43;390
GRC20900;G. amarali;1790.44;389
45336;G. amarali;2733.41;389
24256;G. amarali;2376.59;388
LG0889;G. amarali;1571.32;385
2152;G. amarali;1058.54;384
28219;G. amarali;1546.24;379
LAJ215;G. amarali;763.63;378
58335;G. darwini;2319.71;390
58336;G. geckoides;2496.56;389
56644;G. geckoides;2029.24;385
