Municipality;Locality;State;Latitude;Longitude
Coribe;;BA;-13.7587;-44.4187
Sao Desiderio;Estudos da Ferrovia Oeste-Leste/ Roda Velha-BA;BA;-12.7789;-45.8933
Alto Paraiso de Goias;;GO;-14.1622;-47.5233
Alto Paraiso de Goias;Cerrado rupestre proximo a tapera e Castelinho de pedra, estrada para Sao Jorge;GO;-14.1631;-47.6193
Cana Brava;;GO;-13.5083;-48.3556
Cavalcante;Reserva Bacupari;GO;-13.6424;-47.7217
Cocalzinho de Goias;;GO;-15.6366;-48.5543
Colinas do Sul;LT Serra da Mesa;GO;-13.9903;-48.0922
Minacu;Cana Brava;GO;-12.7833;-46.8833
Minacu;;GO;-13.8167;-48.3333
Minacu;;GO;-13.4958;-48.3974
Mineiros;Parque Nacional Emas;GO;-17.5591;-52.6749
Monte Alegre de Goias;Rio Raiz;GO;-13.25;-46.9
Monte Alegre de Goias;Faz. Nossa Senhora do Livramento;GO;-13.2;-47.1
Niquelandia;;GO;-14.45;-48.45
Nova Roma;;GO;-13.75;-46.8833
Pirenopolis;;GO;-15.85;-48.95
Pirenopolis;;GO;-15.826;-49.011
Pirenopolis;Cerrado rupestre proximo ao portal vindo de Pirenopolis;GO;-15.8055;-48.8743
Pirenopolis;Cerrado rupestre, estrada para o Morro do Cabeludo;GO;-15.8047;-48.8298
Posse;;GO;-14.0833;-46.3333
Rio Verde;;GO;-17.8;-50.9333
Sao Domingos;;GO;-13.4498;-46.4481
Serra da Mesa;;GO;-14.25;-48.5833
Serra Negra;;GO;-14.0167;-48.3525
Teresina de Goias;;GO;-13.6938;-47.2399
Alto Parnaiba;;MA;-9.1;-45.95
Carolina;;MA;-7.3339;-47.4147
Carolina;;MA;-7.3667;-47.4333
Estreito;;MA;-6.5625;-47.4525
Buritis;;MG;-15.6178;-46.4233
Januaria;PARNA Peruacu;MG;-15.1233;-44.2401
Unai;;MG;-16.3853;-46.8318
[divisa Canarana/Cocalinho];Sao Domingos, Rio das Mortes;MT;-13.5;-51.4
Barra do Garcas;;MT;-15.8833;-52.25
Barra do Garcas;Ponta da Serra do Roncador;MT;-15.3282;-52.2284
Cocalinho;;MT;-14.3744;-51.0022
Nova Xavantina;Parque Estadual do Bacaba - Campus Unemat;MT;-14.6858;-52.3358
Nova Xavantina;Rio Noidore;MT;-14.2724;-52.4487
Santa Filomena;Engenheiro Dodt;PI;-8.8;-45.9333
Almas;RPPN Minnehaha;TO;-11.4737;-47.1211
Almas;EESGT, linha 4;TO;-11.2208;-46.8856
Almas;EESGT, linha mamiferos (rochas);TO;-11.1792;-46.8396
Almas;EESGT, Ribeirao Cascavel;TO;-11.2442;-46.8126
Barra do Rio Sao Domingos;;TO;-13.4;-47.2
Bom Jesus do Tocantins;;TO;-9.0022;-47.8624
Caseara;Parque Estadual do Cantao;TO;-9.3723;-49.843
Combinado;Ferrovia Oeste-Leste;TO;-12.813;-46.4747
Conceicao do Tocantins;Ferrovia Oeste-Leste;TO;-12.4071;-47.186
Dianopolis;;TO;-11.7976;-46.9803
Figueiropolis;Ferrovia Oeste-Leste;TO;-12.1839;-48.9602
Guarai;;TO;-8.8333;-48.5167
Gurupi;;TO;-11.7167;-49.0667
Ipueiras;;TO;-11.2333;-48.4667
Lajeado;UHE Luis Eduardo Magalhaes;TO;-9.85;-48.3167
Mateiros;Jalapao;TO;-10.7022;-46.4128
Natividade;Torre de Telefone;TO;-11.6938;-47.7016
Palmas;;TO;-10.0333;-48.3333
Palmas;;TO;-10.1891;-48.1085
Palmas;Taquarucu;TO;-10.268;-48.1513
Parana;;TO;-12.6167;-47.8833
Parana;Ferrovia Oeste-Leste;TO;-12.4847;-47.8137
Pedro Afonso;;TO;-9.2044;-48.0168
Peixe;;TO;-12.0333;-48.35
Peixe;Faz. Sao Francisco;TO;-11.9064;-48.6992
Peixe;UHE Peixe Angical;TO;-12.035;-48.6006
Pium;Parque Estadual do Cantao;TO;-9.9789;-50.0372
Pium;Piau ou Piaus;TO;-10.4422;-49.1856
Porto Alegre do Tocantins;;TO;-11.6767;-46.9858
Porto Nacional;;TO;-10.7;-48.4167
Porto Nacional;Criacao Projeto Irrigacao;TO;-10.5485;-48.484
Sao Salvador do Tocantins;;TO;-12.7333;-48.2333
