"","x"
"1","Almas"
"2","AltoParaiso"
"3","AltoParnaiba"
"4","BarradoGarcas"
"5","BarraRioSaoDomingos"
"6","BomJesusTocantins"
"7","Buritis"
"8","CanaBrava"
"9","Carolina"
"10","Caseara"
"11","Cavalcante"
"12","Cocalinho"
"13","Cocalzinho"
"14","ColinasdoSul"
"15","Coribe"
"16","Dianopolis"
"17","Estreito"
"18","Estreito - CGERV?"
"19","Guarai"
"20","Gurupi"
"21","Ipueiras"
"22","Januaria(Peruacu)"
"23","Lajeado(UHE Luis)"
"24","Mateiros"
"25","Minacu"
"26","Mineiros"
"27","MonteAlegre"
"28","Niquelandia"
"29","NovaRoma"
"30","NovaXavantina"
"31","Palmas"
"32","Parana"
"33","PedroAfonso"
"34","Peixe"
"35","Pirenopolis"
"36","Pium"
"37","PortoAlegreTocantins"
"38","PortoNacional"
"39","Posse"
"40","RiodasMortes"
"41","RioVerde"
"42","SaoDomingos"
"43","SaoSalvadorTocantins"
"44","SerraNegra"
"45","TeresinadeGoias"
"46","Lajeado(UHELuis)"
"47","SaoDesiderio_geckoides"
"48","PresidenteKennedy_darwini"
