Locus;# individuals;# haplotypes;bp;# polymorphic sites;polymorphic sites (% );# transitions;# transversions;# ambiguous bases in alignment;ambiguos bases (%);Nucleotide diversity;? (Watterson);?? (pairwise);Tajima's D
L340;23;23;1982;79;3.99;70;11;48;0.11;0.0111;21.4045;21.9605;0.1032
L275;23;23;1913;77;4.03;64;14;160;0.36;0.0103;20.8626;19.7036;-0.2207
L341;23;23;1543;75;4.86;58;20;113;0.32;0.012;20.3207;18.4506;-0.3653
L287;23;23;1541;73;4.74;44;30;29;0.08;0.0079;19.7788;12.1739;-1.5248
L313;23;23;1960;71;3.62;57;16;89;0.2;0.007;19.237;13.664;-1.1479
L391;23;23;1589;71;4.47;55;16;142;0.39;0.0066;19.237;10.4783;-1.8041
L7;23;23;1504;71;4.72;57;15;172;0.5;0.0097;19.237;14.5178;-0.972
L248;23;23;2018;69;3.42;56;14;119;0.26;0.0057;18.6951;11.5336;-1.5165
L321;23;23;1250;64;5.12;46;18;168;0.58;0.0093;17.3404;11.6443;-1.2972
L358;22;22;2084;63;3.02;52;11;112;0.24;0.0058;17.2823;12.1775;-1.1758
L357;23;23;1705;63;3.7;60;3;60;0.15;0.0065;17.0694;11.0791;-1.3851
L310;21;21;1588;61;3.84;45;16;119;0.36;0.0051;16.9551;8.1143;-2.0927
L9;22;22;1668;61;3.66;53;7;105;0.29;0.008;16.7336;13.2987;-0.8162
L129;23;23;1370;61;4.45;50;12;74;0.23;0.0068;16.5275;9.3518;-1.7116
L87;23;23;1236;61;4.94;37;26;82;0.29;0.0096;16.5275;11.8814;-1.1082
L277;23;23;1588;60;3.78;48;12;81;0.22;0.0085;16.2566;13.4506;-0.68
L3;23;23;1672;57;3.41;50;8;59;0.15;0.007;15.4438;11.6285;-0.9715
L84;23;23;1577;57;3.61;38;19;115;0.32;0.007;15.4438;11.0277;-1.1244
L94;23;23;964;57;5.91;42;15;176;0.79;0.0101;15.4438;9.7194;-1.4576
L354;22;22;1539;56;3.64;36;20;92;0.27;0.0065;15.362;9.9957;-1.3847
L400;21;21;1179;55;4.66;42;14;105;0.42;0.0088;15.2874;10.419;-1.2733
L100;23;23;1575;56;3.56;46;10;69;0.19;0.0063;15.1728;9.9249;-1.3592
L235;23;23;1798;56;3.11;40;18;137;0.33;0.0105;15.1728;18.9486;0.9779
L282;23;23;1288;56;4.35;46;11;56;0.19;0.0076;15.1728;9.7589;-1.4022
L290;23;23;1348;56;4.15;43;13;55;0.18;0.0083;15.1728;11.2292;-1.0214
L59;23;23;1349;56;4.15;44;12;59;0.19;0.0068;15.1728;9.1818;-1.5516
L86;23;23;1651;56;3.39;42;15;43;0.11;0.0055;15.1728;9.0553;-1.5844
L250;23;23;1171;55;4.7;39;16;94;0.35;0.0086;14.9019;10.0791;-1.2709
L311;23;23;1802;55;3.05;29;25;178;0.43;0.0046;14.9019;8.3399;-1.7292
L319;23;23;1554;55;3.54;43;12;115;0.32;0.0075;14.9019;11.6206;-0.8647
L58;23;23;1682;55;3.27;41;15;58;0.15;0.0056;14.9019;9.4427;-1.4386
L88;23;23;1220;55;4.51;48;10;116;0.41;0.0102;14.9019;12.4743;-0.6397
L201;21;21;1507;53;3.52;44;11;95;0.3;0.0085;14.7315;12.8238;-0.517
L251;23;23;1366;54;3.95;43;11;107;0.34;0.0075;14.6309;10.2925;-1.1636
L101;23;23;1441;53;3.68;47;6;86;0.26;0.0063;14.36;9.0711;-1.4441
L128;23;23;1720;53;3.08;44;10;22;0.06;0.0086;14.36;14.7589;0.1089
L274;23;23;1450;53;3.66;45;8;90;0.27;0.0072;14.36;10.4387;-1.0707
L407;23;23;2011;53;2.64;42;13;150;0.32;0.0066;14.36;13.2727;-0.2969
L195;23;23;1522;52;3.42;43;9;74;0.21;0.0052;14.089;7.9802;-1.6988
L291;23;23;1791;52;2.9;36;17;70;0.17;0.0053;14.089;9.5534;-1.2613
L390;23;23;1727;52;3.01;42;10;129;0.32;0.0049;14.089;8.4585;-1.5658
L417;23;23;1723;51;2.96;43;8;54;0.14;0.0042;13.8181;7.2727;-1.8543
L54;23;23;1613;51;3.16;46;5;217;0.58;0.0049;13.8181;7.9289;-1.6685
L110;22;22;1575;50;3.17;36;16;22;0.06;0.0051;13.7161;8.0476;-1.6307
L36;23;23;1686;50;2.97;40;11;59;0.15;0.0046;13.5472;7.7154;-1.6838
L367;23;23;1454;50;3.44;37;13;76;0.23;0.0074;13.5472;10.7431;-0.8096
L147;22;22;1649;49;2.97;42;7;44;0.12;0.0039;13.4418;6.4892;-2.0392
L238;23;23;1747;49;2.8;38;11;39;0.1;0.0041;13.2762;7.249;-1.7742
L356;23;23;1419;49;3.45;40;11;87;0.27;0.0086;13.2762;12.2174;-0.3117
L5;23;23;1162;49;4.22;29;20;28;0.1;0.0065;13.2762;7.5613;-1.6822
L276;23;23;1458;48;3.29;40;9;86;0.26;0.0092;13.0053;13.4071;0.1206
L329;23;23;1505;48;3.19;38;10;91;0.26;0.0091;13.0053;13.7075;0.2108
L347;23;23;1701;48;2.82;44;4;150;0.38;0.0055;13.0053;9.3043;-1.1111
L11;23;23;1691;47;2.78;38;10;36;0.09;0.005;12.7343;8.4427;-1.3146
L166;23;23;1609;47;2.92;39;10;44;0.12;0.0064;12.7343;10.2688;-0.7552
L339;23;23;1733;47;2.71;39;9;28;0.07;0.0071;12.7343;12.2332;-0.1535
L342;23;23;1228;47;3.83;33;14;77;0.27;0.0073;12.7343;8.9051;-1.1729
L1;23;23;1648;46;2.79;36;10;77;0.2;0.0062;12.4634;10.2727;-0.6849
L224;23;23;1679;46;2.74;31;14;38;0.1;0.0035;12.4634;5.8696;-2.0616
L256;23;23;1634;46;2.82;41;4;100;0.27;0.0053;12.4634;8.6957;-1.178
L283;23;23;1708;46;2.69;37;10;53;0.13;0.0041;12.4634;6.9723;-1.7168
L171;23;23;1705;45;2.64;27;18;21;0.05;0.0041;12.1924;7.0316;-1.6477
